customerid, firstname, lastname, address1, address2, city, state, zip, country, region, email, phone, creditcardtype, creditcard, creditcardexpiration, username, "password", age, income, gender
95, VXIRRQ, XGHBCPUPPQ, 9091236773 Dell Way, \N, PFOQUGF, SD, 91490, US, 1, XGHBCPUPPQ@dell.com, 9091236773, 5, 3153780541848391, 2008/01, user95, password, 78, 100000, M
96, EQPUNV, CPYRKNHACN, 9652656132 Dell Way, \N, PSIVXDS, SD, 97822, US, 1, CPYRKNHACN@dell.com, 9652656132, 5, 9816991902422160, 2011/12, user96, password, 83, 100000, M
97, MTCIVR, GNBTVBWIQP, 7278548154 Dell Way, \N, QMMTEHS, DC, 32789, US, 1, GNBTVBWIQP@dell.com, 7278548154, 5, 2557797038927674, 2010/11, user97, password, 70, 20000, M
98, UKMMQA, NKVPGDGVTS, 1547526094 Dell Way, \N, INXQFBX, WA, 99947, US, 1, NKVPGDGVTS@dell.com, 1547526094, 3, 9011170953046532, 2011/08, user98, password, 57, 60000, F
99, ABRAPB, WEIZKETDNH, 9885368844 Dell Way, \N, ADNCALC, CA, 95338, US, 1, WEIZKETDNH@dell.com, 9885368844, 5, 6015513976104558, 2010/06, user99, password, 59, 60000, M
100, FPCHLG, QLRUFUHMVL, 9250484007 Dell Way, \N, ZYLKBNJ, AL, 45808, US, 1, QLRUFUHMVL@dell.com, 9250484007, 3, 8659899443387986, 2010/02, user100, password, 44, 80000, M
101, LADSQO, JKUESHADGZ, 4081060163 Dell Way, \N, ORACABM, WI, 63156, US, 1, JKUESHADGZ@dell.com, 4081060163, 3, 7210860711988062, 2011/02, user101, password, 45, 20000, F
102, NWTCGE, WLWDLZKLNB, 7874303452 Dell Way, \N, LQCMDBB, MN, 52679, US, 1, WLWDLZKLNB@dell.com, 7874303452, 1, 6542575670871884, 2008/04, user102, password, 73, 80000, F
103, NSKRPV, OTHNDSBFER, 4941352913 Dell Way, \N, HQVJSHV, MO, 49863, US, 1, OTHNDSBFER@dell.com, 4941352913, 4, 7841232322156430, 2008/04, user103, password, 86, 80000, M
104, IKPEYI, MMMENRIFZZ, 5599346700 Dell Way, \N, AISIDET, NE, 82321, US, 1, MMMENRIFZZ@dell.com, 5599346700, 4, 1622023951262235, 2010/06, user104, password, 22, 80000, M
105, QZWZLI, LPWCYBCYCK, 7270570272 Dell Way, \N, QKOVEDQ, NY, 92320, US, 1, LPWCYBCYCK@dell.com, 7270570272, 1, 4695855054073036, 2011/11, user105, password, 40, 60000, M
106, EKHMVX, IYWKAUNLLY, 5127891259 Dell Way, \N, ZGCDXUB, NH, 90730, US, 1, IYWKAUNLLY@dell.com, 5127891259, 2, 8246030778624118, 2011/10, user106, password, 67, 100000, F
107, ZKZXTY, TEZORKZQKG, 2817086674 Dell Way, \N, SNDMPTK, AR, 17360, US, 1, TEZORKZQKG@dell.com, 2817086674, 5, 8563901439309121, 2012/09, user107, password, 90, 100000, F
108, ZTXXMC, WAUGAKRHDF, 1721490290 Dell Way, \N, LQUEAVG, HI, 68232, US, 1, WAUGAKRHDF@dell.com, 1721490290, 1, 4522647375240922, 2008/12, user108, password, 58, 20000, M
109, MYEOUF, IBGSTNWYYM, 6452446201 Dell Way, \N, TCMOJSF, ME, 83040, US, 1, IBGSTNWYYM@dell.com, 6452446201, 3, 7893348607234658, 2008/07, user109, password, 51, 80000, F
110, QEHWNI, DGCQCAPOTS, 4109508464 Dell Way, \N, BIBTNMP, DC, 98040, US, 1, DGCQCAPOTS@dell.com, 4109508464, 2, 5642515898682178, 2012/12, user110, password, 90, 60000, F
111, GIQPLW, RCYSRNLJOU, 4645878337 Dell Way, \N, LIIXXLX, ID, 77448, US, 1, RCYSRNLJOU@dell.com, 4645878337, 1, 7074275085236878, 2009/07, user111, password, 75, 80000, M
112, KHHGYJ, FRBSDKHXWQ, 1754146260 Dell Way, \N, FTORQVK, AR, 90684, US, 1, FRBSDKHXWQ@dell.com, 1754146260, 3, 4792518061585725, 2012/02, user112, password, 37, 40000, F
113, ONJXTA, ZMDJUAGKGZ, 2079674498 Dell Way, \N, ZXQUHSS, MA, 24662, US, 1, ZMDJUAGKGZ@dell.com, 2079674498, 2, 3534821788780391, 2009/07, user113, password, 67, 100000, F
114, AWUAVH, EFBFLMLLLI, 3189182691 Dell Way, \N, CGQUYAZ, AZ, 36056, US, 1, EFBFLMLLLI@dell.com, 3189182691, 3, 8334010239224882, 2012/05, user114, password, 81, 100000, F
115, RZCYDH, ZISMUEXDGE, 9050788475 Dell Way, \N, TBCUAEC, ID, 66758, US, 1, ZISMUEXDGE@dell.com, 9050788475, 1, 1235684926621615, 2011/02, user115, password, 38, 60000, F
116, JKGQKO, JWJNTMUYFV, 8858951903 Dell Way, \N, BAWFCCW, WY, 35427, US, 1, JWJNTMUYFV@dell.com, 8858951903, 4, 4559770044870675, 2008/03, user116, password, 53, 60000, M
117, SEZHNV, QBPCVNIROJ, 3862314451 Dell Way, \N, NULQQLX, MS, 28694, US, 1, QBPCVNIROJ@dell.com, 3862314451, 4, 4628714819438756, 2012/03, user117, password, 89, 60000, F
118, YUWULX, JOTWXLLHZF, 8102950769 Dell Way, \N, SPVENIK, TN, 99033, US, 1, JOTWXLLHZF@dell.com, 8102950769, 4, 2408726370427757, 2011/02, user118, password, 53, 80000, M
119, IMKGWZ, ZTXLEEKKXZ, 7448935926 Dell Way, \N, GBNOLJO, IA, 10295, US, 1, ZTXLEEKKXZ@dell.com, 7448935926, 1, 2482879911083728, 2008/09, user119, password, 27, 60000, F
120, OUCOUV, LFAPPKNPQO, 6595474595 Dell Way, \N, CFALUHL, MO, 37519, US, 1, LFAPPKNPQO@dell.com, 6595474595, 4, 1476338486187160, 2011/03, user120, password, 39, 40000, M
121, KWTFHZ, GXOQKDHZFM, 6798147794 Dell Way, \N, ARGHDTP, PA, 49164, US, 1, GXOQKDHZFM@dell.com, 6798147794, 3, 6879583658184857, 2012/10, user121, password, 65, 40000, M
122, KOZJVW, YLGBTFHGFZ, 4065978990 Dell Way, \N, NNDGCWR, OR, 45437, US, 1, YLGBTFHGFZ@dell.com, 4065978990, 4, 2960724868346006, 2012/01, user122, password, 83, 60000, M
123, WUKSSW, YUPECVKBIX, 7123033009 Dell Way, \N, EPZBGTM, NJ, 47412, US, 1, YUPECVKBIX@dell.com, 7123033009, 3, 4887257677968592, 2010/01, user123, password, 19, 60000, M
124, KDNGCI, VGKRRMZORP, 2220276636 Dell Way, \N, OTWHFLS, UT, 14819, US, 1, VGKRRMZORP@dell.com, 2220276636, 3, 1511949831619858, 2008/11, user124, password, 79, 60000, F
125, JVCRQJ, CIAOIPFXDY, 3776657381 Dell Way, \N, TLDFDAG, ID, 53111, US, 1, CIAOIPFXDY@dell.com, 3776657381, 3, 4190435957163572, 2008/12, user125, password, 44, 60000, M
126, MFLVHT, WVBLBZPASA, 1160092385 Dell Way, \N, EXDEEKR, MN, 84486, US, 1, WVBLBZPASA@dell.com, 1160092385, 4, 8194721666630358, 2009/02, user126, password, 60, 100000, F
127, ARPTOL, VZMUPMMPQK, 8003738523 Dell Way, \N, TVODMAZ, MT, 68240, US, 1, VZMUPMMPQK@dell.com, 8003738523, 5, 8104929108172656, 2009/09, user127, password, 27, 40000, F
128, TDZEYZ, RTOEGDVRWQ, 7115704372 Dell Way, \N, FADGAQX, SC, 58787, US, 1, RTOEGDVRWQ@dell.com, 7115704372, 1, 3566918413620442, 2012/07, user128, password, 69, 60000, M
